id,key,value,type
55736374,railway,level_crossing,regular
55847524,tmp,tmp,regular
55863568,highway,turning_circle,regular
88437222,power,tower,regular
88437222,source,bing,regular
88440018,highway,traffic_signals,regular
88469142,highway,turning_circle,regular
88482343,railway,level_crossing,regular
88496913,highway,turning_circle,regular
88503326,highway,turning_circle,regular
88508504,highway,turning_circle,regular
88515377,highway,traffic_signals,regular
88520461,highway,turning_circle,regular
88520734,highway,turning_circle,regular
88525166,highway,turning_circle,regular
88532835,highway,turning_circle,regular
88533514,highway,turning_circle,regular
88540441,highway,turning_circle,regular
88547505,highway,turning_circle,regular
99161977,highway,turning_circle,regular
151333863,ele,1525,regular
151333863,name,Aristocrat Ranchettes,regular
151333863,is_in,"Weld,Colorado,Colo.,CO,USA",regular
151333863,place,hamlet,regular
151333863,id,1852836,gnis
151333863,gnis:Class,Populated Place,regular
151333863,gnis:County,Weld,regular
151333863,gnis:ST_num,08,regular
151333863,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151333863,gnis:ST_alpha,CO,regular
151333863,gnis:County_num,123,regular
151452779,ele,2552,regular
151452779,name,Will-O-The-Wisp,regular
151452779,is_in,"Park,Colorado,Colo.,CO,USA",regular
151452779,place,neighbourhood,regular
151452779,id,183256,gnis
151452779,gnis:Class,Populated Place,regular
151452779,gnis:County,Park,regular
151452779,gnis:ST_num,08,regular
151452779,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151452779,gnis:ST_alpha,CO,regular
151452779,gnis:County_num,093,regular
151654479,ele,1641,regular
151654479,name,Westminster,regular
151654479,is_in,"Adams,Colorado,Colo.,CO,USA",regular
151654479,place,town,regular
151654479,id,204703,gnis
151654479,wikidata,Q948129,regular
151654479,gnis:Class,Populated Place,regular
151654479,population,110945,regular
151654479,gnis:County,Adams,regular
151654479,gnis:ST_num,08,regular
151654479,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151654479,gnis:ST_alpha,CO,regular
151654479,gnis:County_num,001,regular
151874459,ele,2572,regular
151874459,name,Caribou City,regular
151874459,is_in,"Boulder,Colorado,Colo.,CO,USA",regular
151874459,place,hamlet,regular
151874459,id,198001,gnis
151874459,gnis:Class,Populated Place,regular
151874459,gnis:County,Boulder,regular
151874459,gnis:ST_num,08,regular
151874459,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151874459,gnis:ST_alpha,CO,regular
151874459,gnis:County_num,013,regular
175847782,highway,traffic_signals,regular
175889091,source,Yahoo,regular
175889091,highway,turning_circle,regular
175900158,highway,traffic_signals,regular
175900158,traffic_signals,signal,regular
175900347,highway,traffic_signals,regular
175900347,traffic_signals,signal,regular
175914569,highway,traffic_signals,regular
175914569,traffic_signals,signal,regular
175943044,highway,traffic_signals,regular
175943044,traffic_signals,signal,regular
175952361,highway,traffic_signals,regular
175952586,highway,turning_circle,regular
175990458,highway,turning_circle,regular
175996867,source,Yahoo,regular
175996867,highway,turning_circle,regular
176007153,highway,traffic_signals,regular
176030577,source,Yahoo,regular
176030577,highway,turning_circle,regular
176053959,highway,turning_circle,regular
176057650,source,Yahoo,regular
176057650,highway,turning_circle,regular
176066566,highway,traffic_signals,regular
176066566,traffic_signals,signal,regular
176068871,highway,turning_circle,regular
176071279,highway,traffic_signals,regular
176071665,highway,turning_circle,regular
176072111,highway,turning_circle,regular
176074821,highway,traffic_signals,regular
176075228,highway,turning_circle,regular
176080739,highway,traffic_signals,regular
176081878,highway,traffic_signals,regular
176084319,noexit,yes,regular
176084319,source,Bing,regular
176091197,highway,traffic_signals,regular
176116570,highway,traffic_signals,regular
176119207,power,tower,regular
176119465,noexit,yes,regular
176119465,source,Bing,regular
176141815,highway,turning_circle,regular
176147623,highway,turning_circle,regular
176148099,source,Yahoo,regular
176148099,highway,turning_circle,regular
176149621,highway,turning_circle,regular
176153577,highway,turning_circle,regular
176163856,highway,turning_circle,regular
176164954,highway,turning_circle,regular
176172170,highway,turning_circle,regular
176192586,source,Bing,regular
176192586,highway,turning_circle,regular
176203807,source,Bing,regular
176203807,traffic_calming,hump,regular
176213356,highway,traffic_signals,regular
176214229,highway,turning_circle,regular
176219999,source,Yahoo,regular
176219999,highway,turning_circle,regular
176220199,highway,turning_circle,regular
176233204,highway,turning_circle,regular
176240328,highway,turning_circle,regular
176241724,source,Yahoo,regular
176241724,highway,turning_circle,regular
176252323,highway,turning_circle,regular
176253253,highway,turning_circle,regular
176254200,highway,traffic_signals,regular
176255144,highway,stop,regular
176255144,note,all-way stop,regular
176255144,stop,all,regular
176268863,highway,turning_circle,regular
