id,key,value,type
6144331,highway,service,regular
6144331,service,driveway,regular
6144331,cfcc,A41,tiger
6144331,county,"Larimer, CO",tiger
6144331,reviewed,no,tiger
6152844,access,private,regular
6152844,highway,service,regular
6152844,service,driveway,regular
6152844,cfcc,A74,tiger
6152844,county,"Larimer, CO",tiger
6152844,reviewed,no,tiger
6160758,highway,service,regular
6160758,cfcc,A41,tiger
6160758,tlid,188606263:188606264:188606265,tiger
6160758,county,"Larimer, CO",tiger
6160758,source,tiger_import_dch_v0.6_20070809,tiger
6160758,reviewed,no,tiger
6160758,separated,no,tiger
6160758,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6165180,name,South County Road 31,regular
6165180,highway,track,regular
6165180,surface,unpaved,regular
6165180,cfcc,A41,tiger
6165180,county,"Larimer, CO",tiger
6165180,reviewed,no,tiger
6165180,name_base,County Road 31,tiger
6165180,name_direction_prefix,S,tiger
6167300,name,County Road 2,regular
6167300,name_1,North County Line Road,regular
6167300,highway,residential,regular
6167300,surface,gravel,regular
6167300,cfcc,A41,tiger
6167300,county,"Larimer, CO",tiger
6167300,reviewed,no,tiger
6167300,name_base,County Road 2,tiger
6167300,name_base_1,County Line,tiger
6167300,name_type_1,Rd,tiger
6167300,name_direction_prefix_1,N,tiger
6170392,name,Lasso Court,regular
6170392,highway,residential,regular
6170392,cfcc,A41,tiger
6170392,county,"Larimer, CO",tiger
6170392,reviewed,no,tiger
6170392,name_base,Lasso,tiger
6170392,name_type,Ct,tiger
6173310,name,Hummingbird Place,regular
6173310,highway,residential,regular
6173310,cfcc,A41,tiger
6173310,county,"Larimer, CO",tiger
6173310,reviewed,no,tiger
6173310,name_base,Hummingbird,tiger
6173310,name_type,Pl,tiger
7672199,name,County Road 38,regular
7672199,highway,tertiary,regular
7672199,cfcc,A41,tiger
7672199,county,"Weld, CO",tiger
7672199,reviewed,no,tiger
7672199,name_base,County Road 38,tiger
7672924,access,private,regular
7672924,highway,service,regular
7672924,cfcc,A74,tiger
7672924,tlid,188710143,tiger
7672924,county,"Weld, CO",tiger
7672924,source,tiger_import_dch_v0.6_20070809,tiger
7672924,reviewed,no,tiger
7672924,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7673650,highway,residential,regular
7673650,cfcc,A41,tiger
7673650,tlid,188717912,tiger
7673650,county,"Weld, CO",tiger
7673650,source,tiger_import_dch_v0.6_20070809,tiger
7673650,reviewed,no,tiger
7673650,separated,no,tiger
